月日,時刻,子ユーザ,入力値,parKurumaNo,ParamList,parHinban,parJunsei,parHMCount,KurumaInfo,parType,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:42:15,610TB106,,102277 ,"['', '']","['', '']",,10 ,"['', '']",,,"['2060', '2060', '2061', '2061', '2062', '2062', '2063', '2063', '5270', '5020 ']","['2480', '2520', '2480', '2520', '2480', '2520', '2480', '2520', '2840', '2840 ']",0,,2021-11-09 15:42:15
2021-11-09,15:42:51,610TB106,7434185501,,"['', '']",['74341-85501 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:42:51
2021-11-09,15:46:20,610TB106,15982-0007,,"['15982', '0007', '', ' ']","['', '']",,,"['134912', '6', 'ﾀﾞｲﾊﾂ', '10', 'ﾊｲｾﾞｯﾄ ｶｰｺﾞ 660 DOHC', '15982', '0005-0008 0025-0028', 'GBD-S321V', '0712', '1012', 'KFVE', '660']",,,"['', '']","['', '']",,,2021-11-09 15:46:20
2021-11-09,15:46:32,610TB106,PL7002,,"['', '']",['PL7002 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:46:32
2021-11-09,15:47:25,610TB106,15983-0225,,"['15983', '0225', '', ' ']","['', '']",,,"['144858', '6', 'ﾀﾞｲﾊﾂ', '10', 'ﾊｲｾﾞｯﾄ ｶｰｺﾞ 660 DOHC', '15983', '0224 0225', 'EBD-S321V', '1212', '1503', 'KFVE', '660']",,,"['', '']","['', '']",,,2021-11-09 15:47:25
2021-11-09,15:47:35,610TB106,PL7002,,"['', '']",['PL7002 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:47:35
2021-11-09,15:49:02,610TB106,DA64V,,"['', '', 'DA64V', ' ']","['', '']",,,"['118701', '8', 'ｽｽﾞｷ', '22', 'ｴﾌﾞﾘｨ 660 DOHC', '15132', '0009', 'EBD-DA64V', '0508', '1005', 'K6A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:49:02
2021-11-09,15:26:50,419001,16011-0011,,"['16011', '0011', '', ' ']","['', '']",,,[''],,,"['', '']","['', '']",,,2021-11-09 15:26:50
2021-11-09,15:27:03,419001,16011-0011,,"['16011', '0011', '', ' ']","['', '']",,,[''],,,"['', '']","['', '']",,,2021-11-09 15:27:03
2021-11-09,15:27:29,419001,16010-0011,,"['16010', '0011', '', ' ']","['', '']",,,"['126792', '6', 'ﾀﾞｲﾊﾂ', '34', 'ﾀﾝﾄ ｶｽﾀﾑ 660 DOHC', '16010', '0011 0018 0027', 'DBA-L375S', '0712', '1010', 'KFVE', '660']",,,"['', '']","['', '']",,,2021-11-09 15:27:29
